ID,Lat,Lon,Archive,Proxy,minYear,maxYear,Resolution,Publication,Data Citation,inComposites
Arc_018,79.83,24.02,glacier ice,d18O,1400,1998,  1,isaksson2005climate,isaksson2011arcDataCitation,yes
Arc_020,82.83,-77.9,lake sediment,varve thickness,-1,1987,  1,lamoureux1996a,lamoureux2009arcDataCitation,yes
Arc_022,64.6,-19.8,lake sediment,varve thickness,-1,2000,  1,larsen2011a,larsen2013arcDataCitation,yes
Arc_024,70.67,125.87,tree,TRW,1490,1994,  1,macdonald1998a,mcdonald2009arcDataCitation,yes
Arc_025,66.73,-61.35,lake sediment,varve thickness,752,1992,  1,moore2001little,moore2003arcDataCitation,yes
Arc_026,61.81,24.68,lake sediment,varve property,-1,1800,  1,ojala200510000,ojala2009arcDataCitation,yes
Arc_027,73.94,-37.63,glacier ice,d18O,1478,1992,  1,fischer1998little,schwager2004arcDataCitation,yes
Arc_028,76.62,-36.4,glacier ice,d18O,871,1992,  1,fischer1998little,schwager2000arcDataCitation,yes
Arc_029,80,-41.14,glacier ice,d18O,1397,1993,  1,fischer1998little,schwager2000arcDataCitation,yes
Arc_030,69.87,-68.83,lake sediment,varve thickness,971,2000,  1,thomas2009climate,thomas2008arcDataCitation,yes
Arc_032,75.1,-42.32,glacier ice,d18O,-1,1995,  1,vinther2006a,vinther2006arcDataCitation,yes
Arc_033,80.7,-73.1,glacier ice,d18O,-1,1972,  1,vinther2008synchronizing,vinther2008arcDataCitation,yes
Arc_034,71.12,-37.32,glacier ice,d18O,553,1973,  1,vinther2010climatic,vinther2010arcDataCitation,yes
Arc_035,65.18,-43.83,glacier ice,d18O,1,1978,  1,vinther2010climatic,vinther2010arcDataCitation,yes
Arc_036,72.58,-37.64,glacier ice,d18O,1,1979,  1,vinther2010climatic,vinther2010arcDataCitation,yes
Arc_037,64.77,-18.37,documents,historic,945,1935, 30,bergthorsson1969an,bergthorsson2012arcDataCitation,yes
Arc_040,61.35,-143.6,lake sediment,midge,-718,1963, 36,clegg2010six,clegg2010arcDataCitation,yes
Arc_041,61.9,-145.66,lake sediment,midge,-837,1997, 47,clegg2011a,clegg2012arcDataCitation,yes
Arc_042,66.07,-145.4,lake sediment,midge,-1067,1988, 51,clegg2011a,clegg2012arcDataCitation,yes
Arc_043,67,-50.7,lake sediment,alkenone,-998,1999, 29,dandrea2011abrupt,d2011arcDataCitation,yes
Arc_044,75.33,-82.5,glacier ice,d18O,1,1971,  5,fisher1983effect,fisher1997arcDataCitation,yes
Arc_045,67.25,-66.75,glacier ice,d18O,5,1980, 25,fisher1998penny,fisher2003arcDataCitation,yes
Arc_050,60.28,25.42,lake sediment,midge,1359,1994, 14,luoto2009a,luoto2013arcDataCitation,yes
Arc_051,64.28,30.12,lake sediment,chironomid,462,1979, 44,luoto2010palaeoclimatological,luoto2013arcDataCitation,yes
Arc_053,67.25,-66.75,glacier ice,melt,9,1984, 25,okuyama2003physical,okuyama2013arcDataCitation,yes
Arc_054,65.1,-83.79,lake sediment,chironomid,634,1997, 50,rolland2009d,rolland2013arcDataCitation,yes
Arc_059,71.27,-26.73,glacier ice,d18O,3,1983,  5,vinther2008synchronizing,vinther2008arcDataCitation,yes
Arc_061,66.9,65.6,tree,TRW,891,2006,  1,schneider2015revising,wilson2016arcDataCitation,yes
Arc_062,68.26,19.6,tree,MXD,-39,2010,  1,melvin2012potential,melvin2013arcDataCitation,yes
Arc_063,63.2475,13.3375,tree,MXD,783,2011,  1,zhang20161200,wilson2016arcDataCitation,yes
Arc_064,80.52,94.82,glacier ice,d18O,900,1998,  1,opel2013eurasian,opel2013arcDataCitation,yes
Arc_065,66.3,18.2,tree,density,1200,2010,  1,bjorklund2014blue,bjorklundarcDataCitation,yes
Arc_066,65.9,16.1,tree,density,1550,2010,  1,bjorklund2012advances,bjorklundarcDataCitation,yes
Arc_067,61.5,-146.2,lake sediment,BSi,116,2005, 11,mckay2008biogenic,mckay2008arcDataCitation,yes
Arc_068,65.2,15.5,tree,density,1550,2007,  1,bjorklund2012advances,bjorklundarcDataCitation,yes
Arc_069,78.0217,13.9311,lake sediment,alkenone,232,2008, 10,dandrea2012mild,d2012arcDataCitation,yes
Arc_070,67,-50.7,lake sediment,alkenone,-3642,1876, 19,dandrea2011abrupt,d2011arcDataCitation,yes
Arc_071,65.0952,63.4091,tree,height growth,745,2007,  1,lindholm2010the,lindholmarcDataCitation,yes
Arc_072,78.8647,17.425,glacier ice,d18O,769,1997,  1,divine2011thousand,divinearcDataCitation,yes
Arc_073,68.625,-133.87,tree,TRW,1245,2007,  1,porter2013a,porter2016arcDataCitation,yes
Arc_074,68.73,15.73,tree,MXD,1100,2007,  1,mccarroll2013a,mccarrollarcDataCitation,yes
Arc_075,78.4,-80.4,glacier ice,d18O,151,1995,  1,kinnard2011reconstructed,kinnardarcDataCitation,yes
Arc_076,62.917,-69.883,lake sediment,varve thickness,1514,1992,  1,hughen2000recent,hughen2003arcDataCitation,yes
Arc_077,66.6,17.6,tree,density,1550,2010,  1,bjorklund2012advances,bjorklundarcDataCitation,yes
